# created from Y0mm_Mean.dat file and invalid data removed,,,
# coordinates converted to meters,,,
# coordinate system and position updated to match global coordinate system,,,
# all data is taken on the Y = 0 mm plane and provided as a mean,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,
# 2,2,,
# Streamwise Location, Location from wheel centre of rotation, Streamwise velocity, Vertical velocity
# m, m, m/s, m/s
# x, z, Vx, Vz
0.479874,0.212073,33.4992,-0.689667
0.478408,0.212073,33.4928,-0.726067
0.476942,0.212073,33.4927,-0.773432
0.475476,0.212073,33.5178,-0.798648
0.47401,0.212073,33.5146,-0.77429
0.472544,0.212073,33.4977,-0.709185
0.471078,0.212073,33.4727,-0.678859
0.469612,0.212073,33.4477,-0.689539
0.468146,0.212073,33.4304,-0.712318
0.46668,0.212073,33.4232,-0.73105
0.465214,0.212073,33.4505,-0.73961
0.463748,0.212073,33.5024,-0.778166
0.462282,0.212073,33.5428,-0.834105
0.460816,0.212073,33.5835,-0.880156
0.45935,0.212073,33.6045,-0.885025
0.457884,0.212073,33.5778,-0.853041
0.456418,0.212073,33.5371,-0.812373
0.454952,0.212073,33.524,-0.823349
0.453486,0.212073,33.5229,-0.849377
0.45202,0.212073,33.5507,-0.885144
0.450554,0.212073,33.5883,-0.895191
0.449088,0.212073,33.5929,-0.892131
0.447622,0.212073,33.576,-0.899537
0.446156,0.212073,33.5553,-0.890498
0.44469,0.212073,33.5339,-0.874388
0.443224,0.212073,33.5092,-0.863246
0.441757,0.212073,33.4836,-0.878674
0.440291,0.212073,33.4612,-0.875936
0.438825,0.212073,33.4249,-0.851111
0.437359,0.212073,33.4001,-0.844647
0.435893,0.212073,33.3847,-0.874192
0.434427,0.212073,33.3752,-0.902854
0.432961,0.212073,33.3573,-0.88756
0.431495,0.212073,33.3555,-0.829861
0.430029,0.212073,33.3407,-0.805229
0.428563,0.212073,33.3169,-0.849643
0.427097,0.212073,33.3136,-0.911035
0.425631,0.212073,33.3159,-0.942254
0.424165,0.212073,33.3185,-0.939531
0.422699,0.212073,33.319,-0.930798
0.421233,0.212073,33.303,-0.920611
0.419767,0.212073,33.3024,-0.91548
0.418301,0.212073,33.3313,-0.933037
0.416835,0.212073,33.348,-0.958742
0.415369,0.212073,33.3438,-0.985461
0.413903,0.212073,33.354,-1.007
0.412437,0.212073,33.3867,-1.01513
0.410971,0.212073,33.408,-1.01776
0.409505,0.212073,33.4027,-1.03805
0.408039,0.212073,33.3953,-1.07984
0.406573,0.212073,33.4097,-1.12074
0.405107,0.212073,33.4417,-1.12631
0.403641,0.212073,33.4726,-1.115
0.402175,0.212073,33.4926,-1.13228
0.400709,0.212073,33.4976,-1.1786
0.399243,0.212073,33.4863,-1.21192
0.397777,0.212073,33.4602,-1.20844
0.39631,0.212073,33.4287,-1.17095
0.394844,0.212073,33.4247,-1.12511
0.393378,0.212073,33.4308,-1.09507
0.391912,0.212073,33.43,-1.10262
0.390446,0.212073,33.4372,-1.16909
0.38898,0.212073,33.4514,-1.2585
0.387514,0.212073,33.4667,-1.33054
0.386048,0.212073,33.4763,-1.36865
0.384582,0.212073,33.4703,-1.37442
0.383116,0.212073,33.4496,-1.35472
0.38165,0.212073,33.4391,-1.33401
0.380184,0.212073,33.4405,-1.34096
0.378718,0.212073,33.4466,-1.37871
0.377252,0.212073,33.4449,-1.42563
0.375786,0.212073,33.4293,-1.4376
0.37432,0.212073,33.4049,-1.42568
0.372854,0.212073,33.3832,-1.42383
0.371388,0.212073,33.3725,-1.43909
0.369922,0.212073,33.3607,-1.43631
0.368456,0.212073,33.3365,-1.42844
