"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
544.33,-747.16,29.827,-1.9738,-2.2025,0.0063267,0.00021245,21.147,-1.1571,0.56428,2.6831,-4.2967,0,0.33,0.32269,0.090257
587.3,-793.17,29.783,-2.0438,-2.1934,0.0064764,0.00023771,23.845,-0.15819,-0.032857,1.9617,-4.2331,0,0.33,0.32267,0.087137
790.38,-999.96,29.64,-2.3624,-2.1102,0.0077588,0.00018583,42.274,3.9609,-3.4465,-1.7561,-2.8694,0,0.33,0.32264,0.074717
732.67,-944.43,29.671,-2.2785,-2.139,0.0072775,0.0002039,36.162,2.9214,-3.0329,-1.6725,-3.4654,0,0.33,0.32264,0.077813
661.39,-835.05,29.71,-2.3031,-1.9773,0.0071008,0.00021914,32.924,2.5922,-2.7829,-0.31202,-0.93449,0,0.33,0.32873,0.074742
606.71,-784.41,29.742,-2.2284,-2.0071,0.006785,0.00023989,28.407,1.6399,-2.6908,-0.54993,-1.6681,0,0.33,0.32874,0.077867
683.14,-894.34,29.704,-2.1964,-2.162,0.0069284,0.00022528,31.166,1.8858,-2.2828,-0.70765,-3.8509,0,0.33,0.32265,0.080913
561.75,-740.84,29.775,-2.1546,-2.0315,0.0065421,0.00024189,24.617,0.69119,-2.5,0.072056,-2.2327,0,0.33,0.32876,0.080995
503.31,-633.22,29.92,-1.9905,-1.8013,0.0059321,0.00010169,13.169,-2.4088,4.281,1.6708,-0.11894,0,0.33,0.341,0.084201
525.35,-658.52,29.887,-2.0481,-1.7773,0.0060139,0.00012476,14.862,-1.6419,3.6876,1.3428,0.12841,0,0.33,0.34099,0.081154
494.46,-646.39,29.87,-2.0408,-1.9332,0.0061111,0.00015624,16.815,-1.3377,0.37918,1.4938,-1.2838,0,0.33,0.33491,0.084226
530.56,-683.92,29.835,-2.1046,-1.9103,0.0062385,0.00019574,19.174,-0.48763,0.10924,0.73163,-0.93517,0,0.33,0.33489,0.081131
519.55,-697.53,29.811,-2.0832,-2.0512,0.0063565,0.00022123,21.48,-0.24806,-2.0201,1.2246,-2.6347,0,0.33,0.32878,0.084131
