"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
250.19,-291.75,31.935,1.1254,1.1285,0.0060379,6.2503e-05,9.409,-57.152,2.8437,-2.4263,-0.22098,0,0.33,0.15772,-0.22395
259.06,-308.86,31.978,1.2068,1.1938,0.0060918,6.5424e-05,10.31,-58.297,1.5438,-0.28815,0.33408,0,0.33,0.15772,-0.21777
358.52,-431.15,31.558,0.3922,1.9149,0.0055753,3.9179e-05,2.5302,-43.066,14.454,1.4846,2.8588,0,0.33,0.23689,-0.19983
447.15,-529.69,31.547,0.32857,1.8755,0.0055737,3.5106e-05,2.5782,-42.501,2.5848,1.6663,-0.68339,0,0.33,0.23992,-0.19984
354.02,-434.51,31.562,0.38735,1.878,0.005573,3.8388e-05,2.4772,-43.059,16.265,1.0112,2.8962,0,0.33,0.23689,-0.20137
397.14,-475.25,31.552,0.32497,1.8355,0.0055711,3.5627e-05,2.505,-42.498,-0.050502,1.2858,-1.2357,0,0.33,0.23992,-0.20138
367.97,-387.1,31.518,0.27001,1.8868,0.0055643,3.9871e-05,2.3465,-41.884,-19.395,-0.72874,-6.0471,0,0.33,0.24297,-0.20138
374.62,-431.29,31.555,0.32454,1.8014,0.0055695,3.7669e-05,2.4528,-42.485,-2.6259,0.67775,-1.7384,0,0.33,0.23992,-0.20292
351.16,-335.46,31.518,0.27227,1.8579,0.0055616,4.3085e-05,2.2655,-41.864,-14.559,-1.3381,-5.4853,0,0.33,0.24297,-0.2029
350.83,-420,31.565,0.38182,1.8382,0.0055712,4.0042e-05,2.43,-43.032,11.093,0.27913,1.8784,0,0.33,0.23689,-0.20292
196.64,-236.38,31.638,0.69119,1.6123,0.0056485,5.6288e-05,3.5562,-48.12,-0.57604,-3.0936,1.46,0,0.33,0.20652,-0.21801
156.45,-202.08,31.591,0.59037,1.6286,0.0055994,5.8442e-05,2.6903,-45.967,5.3213,-3.8057,2.4684,0,0.33,0.21868,-0.21818
188.62,-209.48,31.604,0.64517,1.5312,0.0056336,6.0869e-05,3.2194,-47.584,0.20846,-3.2702,1.3147,0,0.33,0.20651,-0.22422
137.61,-182.59,31.555,0.54711,1.5096,0.0055918,6.2662e-05,2.4869,-45.503,3.8375,-3.005,1.5544,0,0.33,0.21867,-0.22437
165.62,-205.22,31.525,0.44013,1.4922,0.005561,5.814e-05,2.0123,-43.597,1.3084,-3.7741,0.041634,0,0.33,0.23081,-0.22449
204.59,-247.89,31.555,0.44625,1.5885,0.0055668,5.3535e-05,2.1712,-43.802,1.8506,-4.3396,0.36766,0,0.33,0.23082,-0.21831
200.61,-209.5,31.447,0.22769,1.9541,0.0055535,5.6471e-05,2.0696,-40.861,8.2871,-0.086625,-5.4524,0,0.33,0.2492,-0.19961
160.91,-180.49,31.449,0.22641,1.9344,0.0055506,5.917e-05,1.9999,-40.894,9.9786,-0.41946,-4.7559,0,0.33,0.24919,-0.20109
219.33,-201.74,31.481,0.24727,1.9722,0.0055601,5.5101e-05,2.2207,-41.351,-2.3115,-1.1353,-5.7162,0,0.33,0.24607,-0.1998
236.72,-203.16,31.48,0.24148,1.9533,0.0055566,5.4717e-05,2.1382,-41.344,-2.6125,-1.6374,-5.7256,0,0.33,0.24608,-0.2013
248.52,-215.22,31.479,0.23433,1.9364,0.0055542,5.5316e-05,2.0804,-41.321,-2.9023,-2.2865,-5.7234,0,0.33,0.24608,-0.20279
184.73,-197.79,31.45,0.22393,1.9108,0.0055483,5.8553e-05,1.9492,-40.876,6.4933,-1.1199,-4.6599,0,0.33,0.24919,-0.2026
130.94,-188.5,31.297,0.079459,1.3901,0.0055155,6.0063e-05,1.2763,-38.064,5.8351,-2.8463,0.49908,0,0.33,0.2674,-0.22462
161.22,-231.88,31.321,0.071905,1.5077,0.0055187,5.2773e-05,1.3803,-38.12,9.6132,-3.5762,1.1336,0,0.33,0.2674,-0.21845
105.58,-144.21,31.271,-0.058076,1.2553,0.0055109,6.4815e-05,1.2162,-36.593,-2.1365,-3.7758,0.4689,0,0.33,0.27963,-0.22456
131.3,-171.69,31.296,-0.079695,1.3404,0.0055136,5.8978e-05,1.2961,-36.582,-0.69189,-3.877,0.74451,0,0.33,0.27963,-0.21835
152.71,-210.28,31.371,0.18315,1.6292,0.005527,5.7876e-05,1.4999,-39.839,2.5447,-4.3524,-1.5095,0,0.33,0.25524,-0.21821
156.56,-188.49,31.346,0.19218,1.5362,0.0055228,6.0915e-05,1.3885,-39.688,3.2729,-3.5957,-1.1253,0,0.33,0.25523,-0.22444
142.93,-198.92,31.237,-0.55971,1.3073,0.0054952,5.6362e-05,1.0744,-30.621,11.927,-2.5668,-2.0836,0,0.33,0.33469,-0.19957
90.752,-63.513,31.214,-0.58491,1.2698,0.0054954,5.2518e-05,1.0997,-30.416,-12.192,-0.76215,-12.481,0,0.33,0.33777,-0.19959
201.6,-248.17,31.237,-0.55088,1.2866,0.0054939,5.3648e-05,1.0366,-30.658,9.7302,-1.8162,-2.0963,0,0.33,0.33469,-0.20111
31.458,-30.146,31.217,-0.57648,1.2499,0.0054936,5.2714e-05,1.0306,-30.471,-14.398,0.88963,-12.185,0,0.33,0.33777,-0.20113
3.9329,100.56,31.15,-0.59632,1.345,0.0054911,5.0276e-05,0.96335,-30.27,-35.403,0.69341,-18.714,0,0.33,0.34082,-0.20115
32.086,-34.213,31.22,-0.57067,1.2324,0.0054927,5.7153e-05,0.98906,-30.51,-14.877,1.2174,-11.65,0,0.33,0.33777,-0.20268
14.086,63.757,31.154,-0.58301,1.329,0.00549,6.304e-05,0.91543,-30.315,-28.493,0.4558,-15.836,0,0.33,0.34082,-0.20269
203.27,-226.91,31.237,-0.53969,1.2686,0.0054929,5.5599e-05,1.0037,-30.713,4.2265,-1.0568,-3.0813,0,0.33,0.33468,-0.20266
57.086,-76.341,31.204,-0.2419,1.5676,0.0054935,8.2736e-05,0.89906,-33.893,-4.5736,-4.4171,1.2572,0,0.33,0.30401,-0.21828
87.923,-152.13,31.208,-0.28224,1.4175,0.0054905,6.5207e-05,0.87839,-32.71,7.7071,-4.318,3.3987,0,0.33,0.31629,-0.21816
52.281,-57.974,31.182,-0.21295,1.5089,0.0054912,9.1301e-05,0.83508,-33.898,-3.7194,-3.6052,1.2854,0,0.33,0.30401,-0.22446
62.253,-111.99,31.182,-0.24719,1.3457,0.0054885,8.2571e-05,0.81061,-32.785,4.6332,-3.4197,2.0028,0,0.33,0.31626,-0.22438
69.89,-115.93,31.195,-0.31261,1.1767,0.005487,7.4771e-05,0.80816,-31.699,0.66528,-4.1558,-0.53252,0,0.33,0.32849,-0.22432
94.553,-134.07,31.22,-0.36115,1.2272,0.0054885,6.8943e-05,0.85343,-31.618,0.79167,-4.1255,-0.40198,0,0.33,0.3285,-0.21813
-2272,3521.2,31.53,0.35547,-0.83664,1.2246,0.0015671,773.33,-91.306,7.8818,255.8,0.50369,0,0.33,0.018073,-0.19824
