"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
27.902,-3.8051,2.8973,0.38972,0.00075817,486.6,16.718,0,0.33,0.29175,-0.049556
29.365,-2.5091,2.4526,0.070184,0.00036682,157.18,4.5936,0,0.33,0.31606,-0.074462
28.906,-3.2953,2.0845,0.12941,0.00042949,260.94,11.36,0,0.33,0.31606,-0.049557
29.799,-1.8407,2.4635,0.019358,0.00024743,58.382,-2.076,0,0.33,0.31605,-0.099256
29.974,-1.8014,1.9714,0.0071402,0.00012833,18.148,-4.0738,0,0.33,0.34037,-0.099265
29.681,-2.2761,1.8684,0.014366,0.00022657,49.437,0.91664,0,0.33,0.34038,-0.074465
29.387,-2.7703,1.49,0.024286,0.00026956,87.324,5.7616,0,0.33,0.34039,-0.049558
27.303,-4.9184,-1.884,0.44389,0.0007606,555.71,25.153,0,0.33,0.29175,0.024755
27.903,-3.8075,-2.9155,0.39133,0.00076045,487.17,16.598,0,0.33,0.29175,0.049556
28.485,-3.8965,-1.2668,0.1543,0.00044171,306.92,17.229,0,0.33,0.31606,0.024755
28.908,-3.2952,-2.0981,0.12981,0.00042993,261.35,11.276,0,0.33,0.31606,0.049557
28.969,-3.1981,-0.0050425,0.034954,0.00026258,121.63,11.459,0,0.33,0.34039,1.2051e-07
29.102,-3.1074,-0.85834,0.031501,0.00025881,112.39,9.7288,0,0.33,0.34039,0.024756
29.389,-2.7688,-1.5015,0.024257,0.0002692,87.422,5.7011,0,0.33,0.34038,0.049558
30.136,-1.3284,2.3173,0.0067651,0.00012732,16.789,-7.6646,0,0.33,0.31604,-0.12406
30.306,-0.7309,2.3878,0.0059726,9.662e-05,9.7725,-12.931,0,0.33,0.29169,-0.14904
30.369,-0.91166,2.0999,0.0056805,6.2362e-05,5.1512,-12.1,0,0.33,0.31601,-0.14907
30.226,-1.3881,1.9191,0.005718,6.8792e-05,6.1796,-8.4189,0,0.33,0.34037,-0.12409
30.396,-1.008,1.7786,0.0055525,5.515e-05,2.5677,-11.992,0,0.33,0.34034,-0.14909
