"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
1427.9,-5664,7.4238,-6.0036,-3.0557,24.274,0.025979,812.93,-24.107,-223.15,-91.045,62.873,0,0.495,0.030006,-0.021655
1838.8,-10431,6.76,-4.7207,-4.0367,24.788,0.024992,844.13,-19.577,-209.41,-78.203,60.839,0,0.495,0.023947,-0.024748
1972.9,-15495,7.0151,-5.0435,-3.6431,24.799,0.023171,857.9,-16.505,-196.89,-75.86,67.778,0,0.495,0.023947,-0.021655
-4.5809,-1396.5,7.126,-5.6086,-3.3765,24.402,0.028113,799.47,-26.844,-235.38,-93.892,57.102,0,0.495,0.030006,-0.024748
37973,-55566,6.6269,-3.3535,-1.4481,24.702,0.015251,1363.3,10.962,-48.416,-20.034,110.49,0,0.495,0.011842,-0.006187
21169,-53030,7.3499,-4.9294,-1.3175,25.25,0.016319,1019.4,2.4456,-64.504,-26.14,111.12,0,0.495,0.01789,-0.006187
25857,-52034,6.5466,-3.2523,-2.1485,24.607,0.01545,1357.4,9.59,-67.556,-27.038,106.11,0,0.495,0.011843,-0.0092804
7252.1,-48831,7.2442,-4.7802,-1.9524,25.278,0.01683,1013.1,1.1107,-90.513,-36.275,106.96,0,0.495,0.017893,-0.0092804
3292.2,-43504,7.1082,-4.5943,-2.5627,25.288,0.017565,1004.5,-0.77817,-112.19,-44.231,101.01,0,0.495,0.017899,-0.012374
1167.9,-37689,7.8561,-6.1982,-1.7109,24.322,0.018127,900.06,-7.0264,-113.69,-45.971,92.391,0,0.495,0.023951,-0.0092804
16598,-47438,6.4452,-3.1283,-2.8233,24.471,0.015745,1349.3,7.6227,-83.906,-32.652,99.973,0,0.495,0.011844,-0.012374
9158.3,-41910,7.9868,-6.3953,-1.1559,24.159,0.017496,905.3,-5.7417,-80.897,-32.823,95.857,0,0.495,0.023948,-0.006187
-1.1855e+05,-1.1821e+05,6.1012,-1.9657,-1.5671,19.155,0.0078342,3754.6,21.353,106.17,-14.025,-2011.8,0,0.495,0.0057819,-0.006187
-25043,-1.2156e+05,6.1384,-2.0183,-0.80306,19.238,0.0078527,3762.8,22.078,51.625,-8.6053,-2006.6,0,0.495,0.0057838,-0.0030936
49838,-58054,6.6795,-3.4237,-0.73248,24.76,0.015124,1367.1,11.641,-26.906,-11.5,113.79,0,0.495,0.011844,-0.0030936
-94609,-1.8835e+05,6.025,-1.4325,0.4587,14.65,0.0010822,5900.3,27.548,66.458,-9.4566,4104.8,0,0.495,0,0
-19122,-1.2273e+05,6.153,-2.0403,0.42383,19.272,0.0078598,3766.4,22.253,25.292,-10.978,2005.2,0,0.495,0.0057831,0
-1.0439e+05,-1.8691e+05,6.0125,-1.4108,-0.84321,14.62,0.001079,5894.5,27.383,127.8,-5.9703,-4107.4,0,0.495,0,-0.0030936
-2.8345e+05,-1.8244e+05,5.9831,-1.3624,-1.6278,14.552,0.0010712,5881.6,26.649,254.16,-9.3832,-4114.8,0,0.495,0,-0.006187
52169,-59068,6.6988,-3.4501,0.37245,24.782,0.015076,1368.6,11.811,-15.671,-11.769,-114.23,0,0.495,0.011843,0
-1.2019e+05,-1.1563e+05,6.0443,-1.8968,-2.3266,19.036,0.0078066,3743.3,19.888,162.4,-18.089,-2019.1,0,0.495,0.005782,-0.0092804
-1.1462e+05,-1.1089e+05,5.9748,-1.8158,-3.0611,18.88,0.0077709,3728.2,17.769,217.98,-21.344,-2028.2,0,0.495,0.0057823,-0.012374
-2.5683e+05,-1.7489e+05,5.8822,-1.2376,-3.1849,14.353,0.0010463,5841.4,22.922,508.3,-12.968,-4137.8,0,0.495,0,-0.012374
-2.7851e+05,-1.8034e+05,5.937,-1.3038,-2.4186,14.465,0.0010601,5864.3,25.133,382.85,-11.538,-4125.2,0,0.495,0,-0.0092804
38619,-56056,7.4181,-5.0298,-0.66691,25.223,0.01598,1023.5,3.1457,-34.204,-14.202,114.38,0,0.495,0.017891,-0.0030937
32453,-46125,8.0997,-6.5722,0.29678,23.999,0.016934,909.52,-4.8179,-22.285,-13.28,-98.953,0,0.495,0.023949,0
24994,-44947,8.0703,-6.5258,-0.58529,24.042,0.017085,908.44,-5.0411,-42.717,-17.546,98.852,0,0.495,0.023949,-0.0030937
43447,-57273,7.4424,-5.0661,0.33863,25.212,0.015848,1025,3.3514,-17.983,-12.278,-114.73,0,0.495,0.017892,0
6328.7,-37097,6.1912,-2.8419,-4.0727,24.071,0.016555,1328.6,2.248,-110.11,-41.101,85.086,0,0.495,0.011842,-0.018561
9639.2,-42362,6.3251,-2.9892,-3.4659,24.292,0.016111,1339.6,5.1465,-97.88,-37.623,93.004,0,0.495,0.011843,-0.015467
1353.2,-31634,6.7654,-4.1555,-3.6834,25.193,0.019612,982.08,-5.9169,-145.75,-55.637,86.776,0,0.495,0.01789,-0.018561
1077.3,-37654,6.9463,-4.3827,-3.1411,25.263,0.018492,994.04,-3.1524,-130.31,-50.945,94.341,0,0.495,0.017893,-0.015467
3683.5,-31904,6.0458,-2.6916,-4.6412,23.812,0.017069,1316.5,-1.0043,-121.04,-44.265,76.647,0,0.495,0.011842,-0.021655
-1.0581e+05,-93231,5.7042,-1.548,-5.0606,18.243,0.0076213,3668.1,8.3666,374.78,-28.836,-2063.6,0,0.495,0.005782,-0.021655
-1.0678e+05,-99486,5.8023,-1.6376,-4.4305,18.478,0.0076769,3690,11.928,324.77,-26.588,-2050.7,0,0.495,0.005782,-0.018561
-95073,-86866,5.6004,-1.4612,-5.6531,17.995,0.0075614,3645,4.4852,421.72,-30.062,-2077.2,0,0.495,0.005782,-0.024748
-1.9423e+05,-1.4504e+05,5.59,-0.96457,-5.8989,13.754,0.00097339,5718.5,8.9088,958.96,-16.578,-4205.1,0,0.495,0,-0.024748
-2.1729e+05,-1.5332e+05,5.6709,-1.0295,-5.276,13.917,0.00099307,5752.3,13.013,855.15,-16.372,-4186.4,0,0.495,0,-0.021655
3039.7,-26870,5.8924,-2.5419,-5.1698,23.519,0.017675,1303.9,-4.5218,-131.49,-45.925,67.86,0,0.495,0.011842,-0.024748
-2.247e+05,-1.6124e+05,5.7472,-1.0977,-4.6158,14.074,0.0010121,5784.6,16.774,745.13,-15.284,-4168.7,0,0.495,0,-0.018561
1562.6,-25773,6.5698,-3.9203,-4.1867,25.073,0.020908,969.14,-9.0082,-158.84,-59.462,78.884,0,0.495,0.01789,-0.021655
1794.8,-20199,6.3642,-3.6825,-4.6492,24.901,0.022419,955.75,-12.323,-170.25,-61.233,70.764,0,0.495,0.01789,-0.024748
-1.1553e+05,-1.0549e+05,5.8927,-1.728,-3.7634,18.692,0.0077271,3710.2,15.087,272.32,-24.512,-2038.8,0,0.495,0.0057821,-0.015467
-2.4916e+05,-1.6857e+05,5.8176,-1.1678,-3.9183,14.221,0.00103,5814.5,20.105,629.33,-14.588,-4152.4,0,0.495,0,-0.015467
1580.4,-20983,9.081,-8.7487,-0.80485,21.849,0.021239,827.68,-22.483,-102.62,-43.749,77.123,0,0.495,0.036067,-0.006187
1304.7,-17095,8.9118,-8.4682,-1.1882,22.263,0.022031,826.05,-23.552,-144.4,-62.162,75.457,0,0.495,0.036067,-0.0092804
3564.1,-30149,8.5607,-7.6591,-0.97935,22.88,0.019116,853.35,-14.385,-93.146,-38.78,85.795,0,0.495,0.030006,-0.006187
1103.3,-26077,8.4087,-7.4191,-1.4484,23.17,0.019867,849.88,-15.571,-131,-54.742,83.187,0,0.495,0.030007,-0.0092804
7926.2,-23663,9.1878,-8.931,-0.40738,21.561,0.020774,828.01,-21.881,-53.749,-22.878,79.267,0,0.495,0.036068,-0.0030937
4180.5,-16267,9.698,-9.8688,-0.3252,20.691,0.023419,815.91,-28.898,-57.28,-24.644,76.878,0,0.495,0.042144,-0.0030936
1189.7,-13812,9.5833,-9.6636,-0.64144,21.066,0.023809,816.88,-29.454,-109.6,-47.473,75.047,0,0.495,0.042142,-0.0061869
