"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
-1.1046,-1.8105,1.0336,16.283,0.018122,881.45,-163.04,0,0.33,0.045371,0.085172
-0.87131,-1.7301,-0.23551,16.199,0.018163,886.62,-162.99,0,0.33,0.048398,0.085174
-1.2411,-1.6317,8.777,18.514,0.015475,977.75,-152.3,0,0.33,0.027207,0.085132
13.393,0.81766,-8.6893,31.414,0.020249,1551.4,-105.15,0,0.33,0.093869,0.088325
13.09,0.6831,-8.6754,31.372,0.020412,1536.9,-104.62,0,0.33,0.093869,0.086779
5.0245,1.4248,-8.7485,21.846,0.016563,1318.4,-139.74,0,0.33,0.072649,0.097618
5.2125,1.6413,-8.7769,21.988,0.016485,1333.3,-139.37,0,0.33,0.072649,0.099167
6.3943,1.4869,-9.0756,23.931,0.017028,1404.7,-134.78,0,0.33,0.075678,0.097619
6.6243,1.6899,-9.0875,24.099,0.01695,1421.1,-134.45,0,0.33,0.075678,0.099172
5.1973,0.014559,-8.6954,23.582,0.017784,1325.5,-133.92,0,0.33,0.075685,0.086728
4.0838,-0.15604,-8.2637,21.654,0.017279,1252.7,-139.03,0,0.33,0.072656,0.086724
5.317,0.23617,-8.787,23.548,0.017649,1333.7,-134.39,0,0.33,0.075685,0.088275
4.1723,0.081024,-8.3682,21.598,0.017153,1258.7,-139.48,0,0.33,0.072656,0.088271
12.812,0.54298,-8.6482,31.325,0.020574,1522.6,-104.03,0,0.33,0.09387,0.085233
4.9655,-1.7078,-7.6451,24.394,0.019037,1281.1,-128.33,0,0.33,0.07568,0.07587
4.0425,-1.9566,-7.159,22.731,0.018509,1227.8,-133.3,0,0.33,0.072652,0.075868
4.0153,-0.39915,-8.1458,21.739,0.017419,1247.5,-138.49,0,0.33,0.072656,0.085178
5.0982,-0.21388,-8.5895,23.64,0.017931,1317.9,-133.37,0,0.33,0.075685,0.085181
3.9366,1.573,-8.2979,20.146,0.016232,1241,-144.13,0,0.33,0.069619,0.099157
3.7874,1.3442,-8.2536,20.033,0.01631,1228.1,-144.55,0,0.33,0.06962,0.097613
