"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
10.825,-5.8002,2.9658,19.731,0.024808,795.39,-17.334,0,0.495,0.042334,0.040216
11.161,-6.1749,1.9137,19.847,0.024941,795.79,-21.639,0,0.495,0.048397,0.040216
9.9694,-4.1513,5.7635,20.263,0.024269,815.91,-13.242,0,0.495,0.030201,0.046404
9.7234,-3.9257,5.9641,20.426,0.024336,811.33,-17.095,0,0.495,0.030201,0.049499
10.964,-3.8197,6.6668,21.276,0.018755,1025.2,25.16,0,0.495,0.018078,0.030935
10.975,-2.6449,7.6466,20.73,0.015131,1331.5,34.222,0,0.495,0.012016,0.030935
10.789,-3.5668,7.1089,21.096,0.019558,1011.8,19.912,0,0.495,0.018076,0.034029
10.826,-2.4745,8.1682,20.459,0.015458,1319.2,28.528,0,0.495,0.012015,0.034029
11.251,-1.4869,8.5587,16.065,0.0069363,3385.8,44.074,0,0.495,0.0059513,0.030935
11.367,-1.591,7.9136,16.302,0.0070077,3407.9,50.206,0,0.495,0.0059512,0.027841
11.12,-2.8236,7.0813,21.003,0.014774,1344.4,39.832,0,0.495,0.012016,0.027841
11.629,-1.0257,8.3277,12.274,0.0010999,5241.7,55.845,0,0.495,0,0.027841
11.528,-0.95298,9.0127,12.121,0.0010689,5208.8,49.416,0,0.495,0,0.030935
11.133,-4.0858,6.1846,21.457,0.017834,1039.9,30.347,0,0.495,0.018077,0.027841
11.13,-1.388,9.1578,15.828,0.0068653,3363.5,37.849,0,0.495,0.0059512,0.034029
11.422,-0.88401,9.6497,11.966,0.0010389,5175.5,42.89,0,0.495,0,0.034029
13.062,-7.348,-0.39308,20.729,0.024396,849.73,-22.915,0,0.495,0.066637,0.034028
13.192,-7.8281,-0.28018,20.946,0.024239,864.14,-21.135,0,0.495,0.066637,0.030935
12.527,-7.3279,0.24176,20.396,0.024431,834.87,-21.958,0,0.495,0.06057,0.034029
12.7,-7.7982,0.30169,20.57,0.024212,849.58,-19.875,0,0.495,0.06057,0.030935
13.55,-6.8427,-1.0849,20.866,0.024378,855.96,-24.453,0,0.495,0.0727,0.037122
13.648,-7.2699,-0.91915,21.023,0.024258,866.68,-22.882,0,0.495,0.0727,0.034028
12.91,-6.9282,-0.51391,20.625,0.024587,838.89,-24.728,0,0.495,0.066637,0.037122
13.723,-7.7611,-0.76221,21.298,0.024178,880.89,-21.356,0,0.495,0.0727,0.030935
12.335,-6.9137,0.17408,20.325,0.024679,823.6,-24.068,0,0.495,0.06057,0.037122
12.256,-7.6534,0.97585,20.216,0.024113,838.39,-17.267,0,0.495,0.054464,0.030935
12.445,-8.1645,0.96465,20.404,0.023852,855.45,-14.897,0,0.495,0.054464,0.027841
12.856,-8.3256,0.35224,20.797,0.023999,866.6,-17.827,0,0.495,0.06057,0.027841
13.305,-8.3705,-0.17644,21.22,0.024088,880.92,-19.396,0,0.495,0.066637,0.027841
13.782,-8.3192,-0.61485,21.627,0.024102,897.32,-19.878,0,0.495,0.0727,0.027841
12.052,-7.1937,0.97674,20.076,0.02438,823.47,-19.669,0,0.495,0.054464,0.034028
11.831,-6.7851,0.96919,20.026,0.024673,811.69,-22.086,0,0.495,0.054464,0.037122
14.967,-5.7148,-2.3568,20.821,0.023632,881.17,-24.205,0,0.495,0.08483,0.043309
14.98,-6.0463,-2.1122,20.833,0.02356,884.34,-22.897,0,0.495,0.084832,0.040216
14.096,-5.9703,-1.9689,21.016,0.024292,865.23,-26.198,0,0.495,0.078764,0.043309
14.18,-6.2946,-1.75,20.927,0.024135,867.15,-24.715,0,0.495,0.078764,0.040216
13.428,-6.4735,-1.2588,20.86,0.024552,849.67,-26.094,0,0.495,0.0727,0.040216
14.239,-6.6713,-1.5395,21.007,0.02404,873.89,-23.296,0,0.495,0.078764,0.037122
14.965,-6.4331,-1.8765,21.026,0.023568,892.22,-21.656,0,0.495,0.084833,0.037122
13.285,-6.1543,-1.44,21.01,0.024772,848.16,-27.795,0,0.495,0.0727,0.043309
15.873,-5.4133,-2.6106,20.412,0.022786,895.93,-21.888,0,0.495,0.090906,0.043309
15.913,-5.1208,-2.876,20.439,0.022827,895.49,-23.126,0,0.495,0.090902,0.046404
14.931,-5.4281,-2.6097,20.979,0.023763,882.93,-25.607,0,0.495,0.084829,0.046404
17.022,-4.5343,-3.2772,19.68,0.021687,907.51,-21.829,0,0.495,0.096977,0.049509
16.924,-4.7919,-3.0069,19.646,0.021682,906.23,-20.646,0,0.495,0.096981,0.046408
15.935,-4.8651,-3.1483,20.627,0.022924,899.9,-24.436,0,0.495,0.090902,0.049504
16.802,-5.0894,-2.7422,19.801,0.021764,909.97,-19.528,0,0.495,0.096987,0.04331
14.883,-5.1757,-2.8698,21.275,0.023927,889.24,-27.077,0,0.495,0.084832,0.049503
15.806,-5.7531,-2.3535,20.573,0.022829,901.3,-20.748,0,0.495,0.090913,0.040215
16.445,-5.8493,-2.2368,20.728,0.022281,930.41,-17.589,0,0.495,0.096988,0.037122
15.706,-6.1517,-2.1053,20.925,0.022972,911,-19.678,0,0.495,0.090917,0.037122
16.643,-5.4381,-2.4853,20.167,0.021962,918.42,-18.519,0,0.495,0.096988,0.040216
13.994,-5.6885,-2.1956,21.257,0.024489,868.08,-27.768,0,0.495,0.078764,0.046404
12.957,-5.6301,-1.822,21.694,0.025278,858.28,-31.42,0,0.495,0.0727,0.049498
13.881,-5.4399,-2.429,21.619,0.024704,875.2,-29.407,0,0.495,0.078763,0.049502
13.126,-5.8761,-1.628,21.297,0.025021,851.21,-29.575,0,0.495,0.0727,0.046403
14.282,-7.6145,-1.1465,21.6,0.024024,899.14,-20.666,0,0.495,0.078764,0.030935
14.272,-7.1091,-1.3381,21.246,0.02401,884.92,-21.955,0,0.495,0.078764,0.034028
14.853,-7.4067,-1.4352,21.839,0.023781,918.34,-19.41,0,0.495,0.084832,0.030935
14.921,-6.8843,-1.6507,21.38,0.023652,904,-20.502,0,0.495,0.084832,0.034028
14.775,-8.0031,-1.2299,22.314,0.023895,933.81,-18.372,0,0.495,0.084832,0.027841
15.261,-7.7777,-1.4187,22.577,0.023695,952.79,-16.927,0,0.495,0.090915,0.027841
15.42,-7.1596,-1.6378,22.017,0.023467,938.21,-17.791,0,0.495,0.090916,0.030935
15.723,-7.5334,-1.5413,22.785,0.023456,971.41,-15.252,0,0.495,0.096986,0.027841
15.966,-6.8932,-1.7648,22.145,0.023109,958.3,-15.984,0,0.495,0.096987,0.030935
14.276,-8.1907,-0.965,21.996,0.024035,915.17,-19.431,0,0.495,0.078764,0.027841
15.574,-6.6184,-1.8666,21.432,0.023201,923.81,-18.702,0,0.495,0.090917,0.034028
16.214,-6.3325,-1.9965,21.421,0.022686,944.25,-16.753,0,0.495,0.096988,0.034028
12.124,-6.5515,0.10008,20.382,0.024963,816.48,-26.222,0,0.495,0.06057,0.040216
11.897,-6.2351,0.0208,20.568,0.025278,813.72,-28.408,0,0.495,0.06057,0.043309
12.737,-6.5637,-0.64171,20.662,0.024822,832.44,-26.6,0,0.495,0.066637,0.040216
12.545,-6.2471,-0.77572,20.842,0.025093,830.6,-28.522,0,0.495,0.066637,0.043309
11.657,-5.9571,-0.06308,20.874,0.025609,815.09,-30.644,0,0.495,0.06057,0.046403
