"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
-12129,6444.7,5.8571,-3.369,-2.1003,33.303,0.043927,758.13,-66.131,-174.35,-122.36,-164.18,0,0.495,0.090839,0.052649
-12097,6437.5,5.6685,-3.1803,-2.1792,33.241,0.043874,757.63,-66.428,-171.83,-117.69,-166.86,0,0.495,0.090843,0.0542
-12566,7088.9,5.0369,-3.0237,-2.0861,32.423,0.043588,743.83,-67.508,-176.28,-118.26,-159.16,0,0.495,0.087813,0.055747
-13240,7803.3,4.8062,-3.2298,-1.8213,31.797,0.04353,730.45,-68.057,-184.83,-127.79,-145.16,0,0.495,0.084774,0.054197
-13247,7792.3,5.0095,-3.4192,-1.7479,31.948,0.043627,732.29,-67.746,-186.65,-131.77,-143,0,0.495,0.084771,0.052647
-12088,6474.5,5.4938,-2.9991,-2.2569,33.179,0.043783,757.77,-66.645,-169.55,-113.18,-169.93,0,0.495,0.090843,0.055749
-11514,5812.3,6.3222,-3.3371,-2.2504,33.93,0.04404,770.43,-65.071,-168.29,-116.17,-175.22,0,0.495,0.09387,0.052645
-11473,5769.7,6.5077,-3.53,-2.1693,33.942,0.04396,771.04,-64.782,-171.03,-120.81,-171.73,0,0.495,0.093878,0.051075
-12077,6395.7,6.0471,-3.5616,-2.021,33.358,0.043876,759.25,-65.866,-176.79,-126.39,-161.03,0,0.495,0.090827,0.051084
-11420,5604.7,6.8284,-3.7178,-2.1227,34.078,0.043833,775.32,-64.309,-172.8,-124.24,-171.65,0,0.495,0.094686,0.049509
-11475,5736.6,6.6969,-3.7267,-2.0877,33.947,0.043894,772.37,-64.549,-174.11,-125.59,-168.51,0,0.495,0.093866,0.049509
-11209,5277.1,6.9724,-3.4966,-2.2938,34.443,0.043893,781.9,-64.019,-165.89,-115.43,-182.22,0,0.495,0.096737,0.051077
-11194,5248.3,6.999,-3.4946,-2.301,34.472,0.04389,782.53,-63.976,-165.59,-115.12,-182.83,0,0.495,0.096902,0.051078
-11196,5250.6,6.9889,-3.4834,-2.3058,34.474,0.043895,782.51,-63.991,-165.41,-114.86,-183.03,0,0.495,0.096903,0.05117
-12028,6338.8,6.2519,-3.7619,-1.9411,33.41,0.043841,761.07,-65.549,-179.45,-130.41,-157.81,0,0.495,0.090816,0.049513
-11235,5287.5,6.8309,-3.3063,-2.3828,34.507,0.043977,782.33,-64.206,-162.51,-110.76,-186.21,0,0.495,0.096913,0.052643
-12569,7026.2,5.6124,-3.5875,-1.8567,32.737,0.043801,747.16,-66.704,-182.64,-131.06,-151.36,0,0.495,0.087796,0.051086
-13219,7759.4,5.2124,-3.6118,-1.6742,32.089,0.043664,734.68,-67.477,-188.68,-135.71,-140.65,0,0.495,0.08476,0.051085
-13202,7741.4,5.4294,-3.8125,-1.5999,32.227,0.043669,737.74,-67.124,-191.03,-139.25,-138.57,0,0.495,0.084744,0.049513
-12569,7013.6,5.8216,-3.7877,-1.7791,32.832,0.043789,749.55,-66.368,-185.22,-134.86,-149.23,0,0.495,0.087775,0.049514
-11487,5817,6.1422,-3.1492,-2.3306,33.914,0.044018,770.47,-65.355,-165.61,-111.44,-178.33,0,0.495,0.093872,0.0542
-11233,5306.4,6.6579,-3.119,-2.4643,34.538,0.043985,782.81,-64.514,-159.94,-105.97,-189.41,0,0.495,0.096903,0.054201
-11200,5357.1,6.5007,-2.9394,-2.5449,34.569,0.044083,783.97,-64.729,-157.04,-100.65,-192.77,0,0.495,0.096902,0.055752
-11471,5859.5,5.9749,-2.9684,-2.4101,33.899,0.043957,771.16,-65.569,-163.08,-106.63,-181.64,0,0.495,0.093873,0.05575
-14456,9302.1,4.0782,-3.2665,-1.382,30.318,0.043209,701.64,-69.393,-198.31,-135.14,-119.22,0,0.495,0.078649,0.054198
-13735,8507,4.4167,-3.2497,-1.6121,31.048,0.043357,716.1,-68.634,-191.55,-131.27,-132.38,0,0.495,0.081686,0.0542
-14469,9306.3,4.293,-3.4556,-1.3168,30.545,0.04332,705.09,-69.043,-199.78,-138.56,-117.92,0,0.495,0.07865,0.052647
-13753,8506.2,4.6252,-3.4386,-1.5428,31.24,0.043465,718.72,-68.327,-193.16,-134.99,-130.63,0,0.495,0.081686,0.05265
